trial	deck	deckCopy	gain	loss	subjID
25	1	1	100	0	254
26	3	3	50	0	254
27	4	4	50	0	254
28	2	2	100	1250	254
29	1	1	100	200	254
30	2	2	100	0	254
31	3	3	50	50	254
32	4	4	50	0	254
33	2	2	100	0	254
34	2	2	100	0	254
35	1	1	100	0	254
36	2	2	100	0	254
37	2	2	100	0	254
38	2	2	100	0	254
39	1	1	100	250	254
40	1	1	100	350	254
41	3	3	50	0	254
42	4	4	50	0	254
43	4	4	50	0	254
44	4	4	50	0	254
45	4	4	50	0	254
46	4	4	50	250	254
47	3	3	50	50	254
48	3	3	50	0	254
49	2	2	100	1250	254
50	2	2	100	0	254
51	2	2	100	0	254
52	2	2	100	0	254
53	2	2	100	0	254
54	1	1	100	0	254
55	2	2	100	0	254
56	4	4	50	0	254
57	4	4	50	0	254
58	4	4	50	0	254
59	3	3	50	50	254
60	2	2	100	0	254
61	1	1	100	350	254
62	2	2	100	0	254
63	2	2	100	0	254
64	2	2	100	0	254
65	3	3	50	50	254
66	4	4	50	0	254
67	3	3	50	0	254
68	4	4	50	0	254
69	1	1	100	0	254
70	1	1	100	250	254
71	2	2	100	0	254
72	1	1	100	200	254
73	1	1	100	0	254
74	1	1	100	300	254
75	2	2	100	1250	254
76	1	1	100	150	254
77	2	2	100	0	254
78	1	1	100	0	254
79	2	2	100	0	254
80	2	2	100	0	254
81	1	1	100	0	254
82	2	2	100	0	254
83	2	2	100	0	254
84	2	2	100	0	254
85	1	1	100	0	254
86	3	3	50	25	254
87	2	2	100	0	254
88	1	1	100	300	254
89	2	2	100	0	254
90	2	2	100	0	254
91	3	3	50	75	254
92	4	4	50	0	254
93	4	4	50	0	254
94	4	4	50	0	254
95	3	3	50	0	254
1	4	4	50	0	256
2	1	1	100	0	256
3	2	2	100	0	256
4	1	1	100	0	256
5	2	2	100	0	256
6	2	2	100	0	256
7	4	4	50	0	256
8	2	2	100	0	256
9	1	1	100	150	256
10	2	2	100	0	256
11	2	2	100	0	256
12	1	1	100	0	256
13	2	2	100	0	256
14	2	2	100	0	256
15	2	2	100	1250	256
