trial	deck	deckCopy	gain	loss	subjID
8	1	1	100	0	116
9	2	2	100	0	116
10	1	1	100	150	116
11	2	2	100	0	116
12	2	2	100	0	116
13	2	2	100	0	116
14	4	4	50	0	116
15	3	3	50	50	116
16	4	4	50	0	116
17	4	4	50	0	116
18	2	2	100	0	116
19	2	2	100	0	116
20	2	2	100	1250	116
21	2	2	100	0	116
22	1	1	100	0	116
23	1	1	100	300	116
24	1	1	100	0	116
25	4	4	50	0	116
26	4	4	50	0	116
27	3	3	50	0	116
28	4	4	50	0	116
29	3	3	50	50	116
30	4	4	50	0	116
31	4	4	50	250	116
32	4	4	50	0	116
33	4	4	50	0	116
34	2	2	100	0	116
35	4	4	50	0	116
36	2	2	100	0	116
37	4	4	50	0	116
38	2	2	100	0	116
39	4	4	50	0	116
40	2	2	100	1250	116
41	4	4	50	0	116
42	2	2	100	0	116
43	4	4	50	0	116
44	2	2	100	0	116
45	3	3	50	0	116
46	2	2	100	0	116
47	2	2	100	0	116
48	2	2	100	0	116
49	3	3	50	50	116
50	4	4	50	0	116
51	4	4	50	0	116
52	2	2	100	0	116
53	1	1	100	200	116
54	4	4	50	250	116
55	4	4	50	0	116
56	4	4	50	0	116
57	1	1	100	0	116
58	1	1	100	250	116
59	1	1	100	350	116
60	4	4	50	0	116
61	4	4	50	0	116
62	4	4	50	0	116
63	4	4	50	0	116
64	2	2	100	1250	116
65	1	1	100	0	116
66	2	2	100	0	116
67	1	1	100	350	116
68	2	2	100	0	116
69	1	1	100	0	116
70	2	2	100	0	116
71	2	2	100	0	116
72	4	4	50	0	116
73	4	4	50	0	116
74	3	3	50	0	116
75	4	4	50	250	116
76	4	4	50	0	116
77	2	2	100	0	116
78	1	1	100	250	116
79	1	1	100	200	116
80	2	2	100	0	116
81	2	2	100	0	116
82	1	1	100	0	116
83	2	2	100	0	116
84	1	1	100	300	116
85	2	2	100	0	116
86	4	4	50	0	116
87	4	4	50	0	116
88	1	1	100	150	116
89	1	1	100	0	116
90	4	4	50	0	116
91	4	4	50	0	116
92	4	4	50	250	116
93	4	4	50	0	116
94	2	2	100	0	116
95	4	4	50	0	116
1	4	4	50	0	117
2	2	2	100	0	117
3	1	1	100	0	117
4	3	3	50	0	117
5	2	2	100	0	117
6	3	3	50	0	117
7	1	1	100	0	117
8	2	2	100	0	117
9	1	1	100	150	117
10	2	2	100	0	117
11	3	3	50	50	117
12	2	2	100	0	117
13	2	2	100	0	117
14	1	1	100	0	117
15	2	2	100	0	117
16	2	2	100	0	117
17	2	2	100	1250	117
18	4	4	50	0	117
19	3	3	50	0	117
20	1	1	100	300	117
21	1	1	100	0	117
22	2	2	100	0	117
23	1	1	100	200	117
24	2	2	100	0	117
25	4	4	50	0	117
26	1	1	100	0	117
27	4	4	50	0	117
28	4	4	50	0	117
29	4	4	50	0	117
30	3	3	50	50	117
31	4	4	50	0	117
32	4	4	50	0	117
33	3	3	50	0	117
34	4	4	50	0	117
35	4	4	50	250	117
36	2	2	100	0	117
37	4	4	50	0	117
38	2	2	100	0	117
39	4	4	50	0	117
40	4	4	50	0	117
41	1	1	100	250	117
42	2	2	100	1250	117
43	2	2	100	0	117
44	4	4	50	0	117
45	2	2	100	0	117
46	4	4	50	0	117
47	2	2	100	0	117
48	3	3	50	50	117
49	4	4	50	0	117
50	4	4	50	0	117
51	4	4	50	0	117
52	2	2	100	0	117
53	4	4	50	0	117
54	4	4	50	250	117
55	4	4	50	0	117
56	4	4	50	0	117
57	4	4	50	0	117
58	4	4	50	0	117
59	4	4	50	0	117
60	2	2	100	0	117
61	3	3	50	0	117
62	4	4	50	0	117
63	3	3	50	50	117
64	4	4	50	0	117
65	4	4	50	0	117
66	4	4	50	250	117
67	4	4	50	0	117
68	1	1	100	350	117
69	2	2	100	0	117
70	1	1	100	0	117
71	4	4	50	0	117
72	4	4	50	0	117
73	2	2	100	1250	117
74	4	4	50	0	117
75	2	2	100	0	117
76	4	4	50	0	117
77	4	4	50	250	117
78	4	4	50	0	117
79	4	4	50	0	117
80	1	1	100	350	117
81	2	2	100	0	117
82	2	2	100	0	117
83	2	2	100	0	117
84	4	4	50	0	117
85	2	2	100	0	117
86	4	4	50	0	117
87	2	2	100	0	117
88	3	3	50	50	117
89	4	4	50	0	117
90	2	2	100	0	117
91	4	4	50	0	117
92	4	4	50	0	117
93	4	4	50	0	117
94	4	4	50	0	117
95	4	4	50	0	117
1	1	1	100	0	118
2	2	2	100	0	118
3	1	1	100	0	118
4	2	2	100	0	118
5	3	3	50	0	118
6	4	4	50	0	118
7	1	1	100	150	118
8	4	4	50	0	118
9	4	4	50	0	118
10	3	3	50	0	118
11	3	3	50	50	118
12	4	4	50	0	118
13	2	2	100	0	118
14	2	2	100	0	118
15	4	4	50	0	118
16	2	2	100	0	118
17	2	2	100	0	118
18	4	4	50	0	118
19	4	4	50	0	118
20	2	2	100	0	118
21	2	2	100	0	118
22	2	2	100	1250	118
23	2	2	100	0	118
24	4	4	50	0	118
25	4	4	50	0	118
26	4	4	50	250	118
27	2	2	100	0	118
28	2	2	100	0	118
29	2	2	100	0	118
30	4	4	50	0	118
31	3	3	50	0	118
32	3	3	50	50	118
33	4	4	50	0	118
34	1	1	100	0	118
35	2	2	100	1250	118
36	4	4	50	0	118
37	4	4	50	0	118
38	4	4	50	0	118
39	4	4	50	0	118
40	4	4	50	0	118
41	3	3	50	0	118
42	2	2	100	0	118
43	1	1	100	300	118
44	2	2	100	0	118
45	1	1	100	0	118
46	2	2	100	0	118
47	1	1	100	200	118
48	4	4	50	0	118
49	4	4	50	0	118
50	4	4	50	250	118
51	3	3	50	50	118
52	4	4	50	0	118
53	2	2	100	0	118
54	3	3	50	0	118
55	4	4	50	0	118
56	4	4	50	0	118
57	2	2	100	0	118
58	1	1	100	0	118
59	3	3	50	50	118
60	4	4	50	0	118
61	3	3	50	50	118
62	1	1	100	250	118
63	2	2	100	0	118
64	2	2	100	1250	118
65	4	4	50	0	118
66	4	4	50	0	118
67	3	3	50	0	118
68	2	2	100	0	118
69	2	2	100	0	118
70	2	2	100	0	118
71	1	1	100	350	118
72	2	2	100	0	118
73	4	4	50	0	118
74	4	4	50	0	118
75	4	4	50	250	118
76	4	4	50	0	118
77	4	4	50	0	118
78	2	2	100	0	118
79	2	2	100	0	118
80	4	4	50	0	118
81	2	2	100	0	118
82	4	4	50	0	118
83	4	4	50	0	118
84	4	4	50	250	118
85	2	2	100	0	118
86	4	4	50	0	118
87	2	2	100	0	118
88	4	4	50	0	118
89	2	2	100	0	118
90	2	2	100	1250	118
91	4	4	50	0	118
92	2	2	100	0	118
93	4	4	50	0	118
94	3	3	50	25	118
95	2	2	100	0	118
1	4	4	50	0	119
2	2	2	100	0	119
3	2	2	100	0	119
4	1	1	100	0	119
5	3	3	50	0	119
6	1	1	100	0	119
7	2	2	100	0	119
8	4	4	50	0	119
9	4	4	50	0	119
10	4	4	50	0	119
11	3	3	50	0	119
12	4	4	50	0	119
13	2	2	100	0	119
14	4	4	50	0	119
15	2	2	100	0	119
16	4	4	50	0	119
17	2	2	100	0	119
18	2	2	100	0	119
19	2	2	100	0	119
20	2	2	100	1250	119
21	2	2	100	0	119
22	1	1	100	150	119
23	2	2	100	0	119
24	4	4	50	0	119
25	4	4	50	0	119
26	2	2	100	0	119
27	3	3	50	50	119
28	3	3	50	0	119
29	4	4	50	250	119
30	2	2	100	0	119
31	4	4	50	0	119
32	4	4	50	0	119
33	3	3	50	50	119
34	4	4	50	0	119
35	2	2	100	1250	119
36	4	4	50	0	119
37	2	2	100	0	119
38	4	4	50	0	119
39	2	2	100	0	119
40	4	4	50	0	119
41	4	4	50	0	119
42	2	2	100	0	119
43	4	4	50	0	119
44	3	3	50	0	119
45	4	4	50	0	119
46	2	2	100	0	119
47	4	4	50	250	119
48	4	4	50	0	119
49	2	2	100	0	119
50	4	4	50	0	119
51	4	4	50	0	119
52	2	2	100	0	119
53	4	4	50	0	119
54	4	4	50	0	119
